"I'm not sure.",ちょっとわからないな。
"When I arrived, Carlos and his friends were already there.",フィールドに到着すると、カルロスたちは既に到着していた。
"Brazilians were good at playing soccer. Their kicks were great too.",ブラジル人はさすがにみんなうまい！シュートも手加減なし。
"Their Brazilian spirits were seen through soccer as well.",ブラジル人らしい気性はサッカーにも現れていると感じた。
"It felt good to move my body for the first time in a while.",久しぶりに体を動かして気分が良かった。
"When I started playing football, I wanted to be a professional player.",サッカーを始めたばかりの頃はプロのサッカー選手になろうと思っていたのだ。
"I'm glad I played soccer. I guess football goes beyond words.",僕サッカーやってて良かったな。そうか、サッカーは言葉を超えるんだ。
"I bought a cup of coffee at Starbucks on my way to school.",今日は学校へ来る前にスタバへ寄ってコーヒーを買った。
"But they gave me a different drink. I felt ashamed that I couldn't even order a coffee.",でも、注文したものとは別のものが出てきた。スタバの注文もできないなんて情けなくて。
"I was thinking about last night.",僕は昨日の夜のことを思い出していた。
"When I went to the cash register, I realized I didn't have enough money.",レジでお金を払おうとしたら、お金が足りないことに気がついた。
"The gentleman said Wait. I'll pay for him. and paid my bill!","紳士が「Wait. I'll pay for him.」と言って、僕の分のお会計を払ってくれた！"
"You don't have to give the money back, but next time, do the same thing to someone else.",お金は返さなくていいから、次はあなたが同じことをしてあげて。
"It was the first time a stranger paid for me.",見知らぬ人がお金を払ってくれるなんて初めての経験だった。
"We also have to make the next step.",僕たちも次につなげていかなくっちゃってことだね。
"It's my first time visiting a friend's house since I came to San Francisco.",サンフランシスコに来てから、誰かの家に遊びに行くのは初めてだった。
"Ms. Tomoko opens the front door.",トモコ先生が玄関の扉を開けてくれた。
"Hello. This is today's Cafe Tomoko's menu.",いらっしゃいませ。本日のカフェ・トモコのメニューです。
"The woman who elegantly smiled was Ms. Tomoko's mother.",優雅に笑うマダムはトモコ先生のお母さんだ。
"Hi. I'm Tomoko's mother. Welcome to my house from further Japan.",こんにちは。トモコの母のヨウコです。遠く日本からようこそ。
"People here don't speak slowly just because you are a foreigner. So it must be difficult for you.",こちらの人は外国人だからってゆっくり話したりしてくれないから、大変でしょう。
"Just because I can't speak English makes me powerless like a child.",言葉ができないだけで、自分が子供のように無力になってしまう。
"I almost cried when I imagined that feeling.",その気持ちを想像したら涙が出そうになってしまった。
"It's hard not to run from problems, but she overcame them.",逃げないって簡単なことじゃないけど、トモコは乗り越えた。
"Today is Saturday. We all get together to cook and eat dishes from different countries.",今日は土曜日。みんなで集まって、各国の料理を作って食べることになった。
"Everyone expected Sushi from us Japanese.",クラスのみんなが僕たち日本人にSushiを期待していた。
"I wanna eat sushi as much as I like!",私はスシを好きなだけ食べてみたい。
"She made delicious-looking Makizushi one after another.",次々に美味しそうな海苔巻きが出来上がる。
"I couldn't help but stand there.",僕は手伝うこともできずに、ただ立っているだけだった。
"I realized that I was overseas, away from Japan.",日本を出て海外にいる実感を、今猛烈に感じていた。
"People can't change so easily just because they hear about someone's success story.",誰かの成功体験を聞いたからって人間そんなに簡単に変われるものじゃない。
"Everyone knows how to succeed, but it is hard.",こちらに進んだ方がいい、とわかっていても踏み出せない時がある。
"I got a drink out of the fridge and called out to everyone.",僕は冷蔵庫から飲み物を出して、みんなに声をかけた。
"Even Coke, which I am used to drinking, feels slightly different in America.",飲み慣れたコーラもアメリカで飲むのはちょっと違う感じがする。
"I only had one year. I know that, but I was having a hard time pushing myself.",僕のタイムリミットは1年。わかってはいるけど、なかなか追い込めない自分がいた。
"Jack said he was taken a leave from college to come to the US.",ジャックは大学を休学してアメリカに来ていると言っていた。
"He had studied in Cebu before coming here.",サンフランシスコの前はフィリピンのセブ島に留学していたらしい。
"Jack wrote down many English and Korean words in his notebook.",ジャックのノートには、ぎっしりと英語や韓国語が書き込まれていた。
"I studied at a cafe after my morning jog today.",今日は朝からジョギングをした後、カフェで勉強をしてきた。
"I decided to seriously study in my way for the time I had left in the United States.",アメリカで残された時間を自分なりに本気で勉強しようと思った。
"Hey, how can I study vocabulary and grammar?",ねえ、単語とか文法ってどうやって勉強すればいいかな?
"Well, I thought it was time to get serious. I'm only here for a limited time.",まあ、そろそろ本気出そうかと思ってさ。僕、期限付きだから。
"Daylight hours in San Francisco are getting shorter. Autumn was approaching.",サンフランシスコは、だんだん昼の時間が短くなっている。秋が近づいているのだ。
"Mika has changed. She became stronger.",美香は少し変わった。なんだかちょっと強くなった。
"At first, she did not speak up during class.",最初の頃はクラスの中で、あんまり自分の意見を言ったりしなかった。
"Recently, she has begun to speak her mind and opinions.",最近は意見に対して「自分はこう思う」と発言をするようになった。
"I am a beginner in Japanese, but you don't care about my mistakes.",私は日本語の初心者だけど、あなたは私のミスなんか気にしないでしょ。
"I never laugh at the mistakes of those who are trying to learn.",学ぼうとしている人のミスを笑うことなんて絶対にできない。
"Six months have passed since I arrived here.",もう僕がここにきてから６カ月が過ぎたのだ。
"Today's presentation starts with me. So, I opened my notebook to practice.",今日のプレゼンは僕からスタートだ。僕はプレゼンの練習をするべくノートを広げた。
"It was Mika who suggested, Let's have a picnic this week.",「今週はピクニックしよう」と提案をしたのは美香だった。
"There were triangular-shaped rice balls in the basket.",バスケットの中には三角の形のおにぎりがきれいにおさまっていた。
"I may be changing classes soon, so I wanted to thank you two.",もうすぐクラスも変わるかもしれないから、二人にちょっとお礼をしたくて。
"At the end of this month, Jack, a Korean, and a group of Brazilians will return to their country.",今月末で韓国人のジャック、ブラジル人のグループは帰国をする。
"Taro taught me that school grades have nothing to do with learning English.",太郎には英語を身につけるのに学校の成績は関係ないっていうことを教えてもらった。
"When I realized that, I started seeing things I had never noticed.",見えない景色が見えるようになると、気づかなかった部分も見えてくる。
"You're invited. Farewell Party. Saturday: starts from 11am","招待状。お別れパーティ 土曜日：11時開始"
"Today we planned to discuss and prepare the food for the next week's party.",今日は来週のパーティのメニューの相談と準備をする予定だった。
"The Japan we want to show, and Japan expected by people overseas tend to be different most time.",伝えたい日本と、海外の人に期待される日本は違うことが多い。
"How about having ice cream from the food stand in the park over there?",あそこの公園に出ている屋台でアイスクリームを食べるなんてどう？
"I wonder if it was hard for that guy to learn English, like us.",あのおじさんなんかもさ、英語覚えるの大変だったのかな。
"She looked at me while she scooped the strawberry ice cream with her spoon.",美香がストロベリーのアイスをスプーンですくいながら、僕の方を見た。
"I always played football during my school days, so I didn't study much.",僕って中学高校とサッカーばっかりやっててさ。あんまり勉強してなかったんだ。
"My teacher in high school was a strange person. He was a little weird.",高校の時の担任が変な先生でさ。ちょっと変わってるんだよ。
"The teacher's stories about various countries made me interested in foreign countries.",先生からいろんな国の話を聞くことで、海外に興味を持ったのは間違いなかった。
"He used to say, 'What you see on TV is different from what you experience for yourself.",先生が『テレビで見るのと、自分で体験するのは全然違うぞ』ってよく言ってた。
"Looking through a screen, you don't feel any embarrassment or sadness, but you cannot feel joy.",画面越しに見てるだけじゃ、恥ずかしさも悲しさも感じなくて済むけど、心からの楽しさや喜びもない。
"On Saturday morning, I headed to meet Mika. Mika was waiting for me at the meeting place with a large bag.",土曜日の朝、美香との待ち合わせ場所へ向かった。待ち合わせ場所では、美香が大きな荷物を持って待っていた。
"We got into a taxi and headed to Ms. Tomoko's house.",タクシーに手をあげて二人で乗り込むと、トモコ先生の家へ向かう。
"Gaby had planned to come here for a year but had to return home early for financial reasons.",ガビーは一年間の予定でサンフランシスコに来ていたのだが、経済的な理由で早めに帰国することになった。
"Other classmates often talked about their families.",他のクラスメイトも家族のことをよく話していた。
"Everyone had cooked their food before coming, so we were the only ones preparing in the kitchen.",みんな今日は持ち込みの料理が多く、キッチンで支度をしているのは僕たちだけだった。
"Jack is very strict with himself but very kind to others.",ジャックは自分には厳しいけれど、人にはすごく親切なのだ。
"Jack, what will you do when you return to Korea?",ジャックは韓国に戻ったらどうするんだい？
"First, I will serve in the military. After that, I will go back to college. Someday I will visit Japan too.",まずは兵役につく。その後は大学に戻る。いつか日本にも行くよ。
"In Japan, you have the right to live as you like.",日本では自由に生きる権利があるだろう。
"To me, Japan did not seem to be the country that Jack had imagined.",僕には日本がジャックが想像しているような国だとは思えなかった。
"Time flies when you are having fun. It's already dark outside.",楽しい時間はあっという間に過ぎていく。窓から見える景色はすでに真っ暗だった。
"Gaby and Mika hugged each other and cried. Gaby told Mika, I'm going to Japan someday.",美香とガビーは二人で抱き合って泣いている。ガビーが「いつか日本へ行く」と言う声が聞こえた。
"Carlos told me to visit Brazil someday.",カルロスがブラジルへ必ず遊びに来いと誘ってくれた。
"Carlos proudly said that Brazil does not have prejudice and discrimination like the U.S.",カルロスは「ブラジルはアメリカのような偏見や差別がない」と自分の国を誇らしげに語った。
"Coming to San Francisco, I have made Brazilian friends, and Brazil feels very close to me now.",サンフランシスコに来たことで、ブラジル人の友達が出来て、ブラジルが今自分にとってすごく身近に感じられる。
"Korea and Japan do not have a very good relationship. But I would never speak badly about my friend's country.",韓国とは国同士はうまくいってるとは言いにくい関係だが、僕自身は友達の国を悪くいったりは絶対にしない。
"The world would be more peaceful if people made friends from different countries.",もしかしていろんな国に友達ができれば、世界も平和になっていくのかもしれない。
"Let's go to the park. That is what Mika suggested on my last Saturday in the U.S.",最後の土曜日。「公園に行こう」と提案をしたのは美香だ。
"After the farewell party in the sixth month, Mika went to a different class, and my teacher changed.",6カ月目のお別れパーティを境にして、美香とはクラスも変わり、担任の先生も変わった。
"Taro, I haven't seen you in a while. I was surprised to know you're going back to Japan tomorrow... I will miss you.",久しぶりに会ったと思ったら、太郎は明日帰国なんて・・。寂しくなるわね
"What will you do when you go back to Japan? Do you have any plans?","帰国したらどうするの？ 何かプランはあるのかしら？"
"I want to go abroad again. But I don't know when.",僕はまた外へ出たいと思ってます。いつになるかわからないけど・・。
"If you don't do it when you want to, you will start thinking about excuses not to do it.",思った時にすぐやらないと、動けない理由が次々にやってくる。
"If you decide to do it later, your feelings go away, and you cannot move anymore.",先延ばししていると、気持ちがだんだん冷めて、結局動けなくなっちゃうの。
"Our everyday life passes by very quickly.",現代の僕たちの日常はすごくスピーディだ。
"No one remembers the news from a week ago.",ニュースだって一週間前の話題なんて、誰も覚えていない。
"Our feeling can change quickly.",自分の気持ちを、変わらず持ち続けるのはとても難しい。
"So we have to act immediately. So we don't have to forget.",だからすぐに行動するしかないんだ。忘れてしまわないように。
"It's hard to be interested in things and places I don't know.",僕は自分が行ったことのない場所に興味を持つことはできない。
"When I return to Japan, I want to travel around the country and learn about its history.",日本に戻ったら国内も色々行ってみたいし、歴史も一緒に学びたい。
"Hey Taro, what do you want to do for work?",太郎はさ、これからどんな仕事をしたい？
"You know, I'm a typical Japanese man.",僕ってさ、いたってフツーの日本人なんだよ。
"I was born in the countryside, I didn't come from a good family, and my grades weren't good.",田舎に生まれてさ、家柄に恵まれてるわけでもなくて、成績だってよくなかったしさ。
"But I became interested in English, and now I'm in the U.S. thinking of living abroad again.",でもひょんなことから英語に興味を持って、今はアメリカにいて、また海外で生活しようと思ってる。
"So, I want to create a system that helped ordinary people like me.",だからさ・・お金もない僕みたいなフツーの人を応援する、仕組みを作りたいんだよね。
"Something that will help you learn English without spending a lot of money.",お金をかけなくても、英語を身に付けられるような何か。
"My goal is to create a flow for ordinary people to learn English and make it easier to visit overseas.",で、フツーの人も英語を身につけてさ、気軽に国境を超えられる流れを作るのが大きな目標
"It sounds like an impossible dream, but this is what I want to do.",夢みたいでなんだかすごそうな話だけど、僕はこういうことがやりたいんだ。
"I was talking with my Japanese friends, and I felt the need to make that system.",日本の友達と話してたらね・・そういう仕組みが必要だなって気がしてきたんだ。
"After getting off the cable car, I held my right hand to Mika.",ケーブルカーから降りて、僕は美香に右手を差し出した。
"Mika looked surprised, but she smiled immediately and offered me her right hand.",一瞬驚いた美香はすぐに笑顔で右手を差し出してくれた。
"Ms. Tomoko shook my hand and hugged me.",トモコ先生は握手をした後ハグをしてくれた。
"I waved them goodbye, and I walked off in a different direction on my own.",二人に見送られ、手を振って別れた僕は、一人で違う方向に歩き出した。
"There’s only one left.",あと１つしか残ってない。
"What a waste!",勿体無い！
"That's good enough.",それで十分だよ。
"Don't get me wrong.",誤解しないで。
"He writes books.",彼は作家です。
"You would think so.",普通はそう思うよね？
"It was boring.",つまらなかった。
"His pocket were empty.",彼のポケットは空っぽでした。
"Wash your hands well.",手をよく洗って。
"Close your eyes, please.",目を閉じてください。
"Please take it freely.",ご自由にお持ちください。
"He lives next me.",彼は私の隣に住んでいます。
"How's your business?",仕事はいかがですか？
"I called for help.",私は助けを求めました。
"What did he say?",彼は何と言いましたか。
"Thanks for calling.",電話をありがとう。
"We were in a hurry.",私たちは急いでいた。
"I got my palm read.",手相を見てもらった。
"Driving drunk is illegal.",飲酒運転は違法です。
"Let's have lunch.",お昼にしましょう。
"I have a question.",質問があります。
"Tell me the story.",その話を聞かせて。
"What's going on?",どうかしたの？
"It all depends",時と場合によります
"I doubt it.",それはどうかな
"Who are you?",あなたは誰？
"I suppose so.",そう思います。
"I'll show you.",お見せします
"I'm going home.",家に帰ります
"No pain, no gain",痛みなくして得るものなし。
"Don't mention it.",どういたしまして。
"There’s nothing left.",何も残ってない。
"Hold your horses.",落ち着いて。
"That's the point.",そこが大事ですね。
"My flight got canceled.",飛行機が欠航になった。
"Easier said than done.",言うのは簡単だ。
"Can I help you?",何かお困りですか？
"I understand completely.",完璧に理解しました。
"I've got no idea.",私には分かりません。
"It drives me crazy.",腹立たしい。
"It's a small world.",世間は狭いですね。
"Count me on.",期待していいよ。
"I'm a housewife.",主婦です。
"You are kidding.",冗談でしょ。
"They're not mine.",それらは私のものではないです。
"There's a possibility.",可能性はあります。
"What's your nationality?",あなたの国籍はどこですか？
"It is growing cool.",だんだん涼しくなってきました。
"It's going too far.",それはやり過ぎだ。
"I'm working on it.",それに取り組んでいます
"It's all my fault.",全て私のせいです。
"Excuse me, Sir.",(男性に対して）すみません。
"You deserve it.",あなたはそれに値するよ
"Anything to drink?",何か飲みますか？
"When is the deadline?",締め切りはいつですか？
"Any different opinion?",違う意見はありますか？
"It's up to date.",それは最新です
"Any day will do.",どの日でもいいですよ
"Don't touch me.",私に触らないで
"Just call me Ken.",ケンと呼んでください
"You have my word.",私が保証します
"Yes, I think so.",ええ、そう思います
"I'll think it over.",よく考えてみます
"It's time to go home.",もう帰らなきゃ。
"If it rains tomorrow, I will stay home.",もし明日雨が降れば、私は家にいるつもりです。
"Can you lead me the way to the station?",駅まで案内してくれる？
"I was taken to the hospital.",病院に連れて行ってもらいました。
"Are you seeing anyone?",付き合っている人はいますか？
"It will protect you in case of an accident.",事故の時にあなたを守ってくれます。
"You should go to bed.",もう寝たほうがいいですよ。
"Ken is smaller than Naoto.",ケンはナオトより小さいです。
"Big earthquakes happen only once in a while.",大きな地震はたまにしか起こりません。
"Are you going to travel alone?",一人で旅行するつもりですか？
"What time is the next bus?",次のバスは何時ですか?
"It is difficult for me to speak English.",私にとって英語を話すことは難しい。
"What's her favorite food?",彼女の好きな食べ物は何ですか？
"Which do you prefer, summer or winter?",夏と冬、どっちが好きですか？
"I have to be there two hours early.",2時間前には行かなくてはいけません。
"I want to learn American history.",アメリカの歴史を学びたいです。
"Which subject do you like the most?",どの教科が一番好きですか？
"He gave me a watch.",彼は私に時計をくれました。
"May I open the window?",窓を開けてもいいですか?
"Did you see that puddle of water on the floor?",床に水たまりができているのを見ましたか？
"Shall I teach you English?",私があなたに英語を教えましょうか？
"I think that the book is interesting.",その本は面白いと思います。
"I want something to eat.",何か食べるものがほしい。
"I think there is a thunderstorm tomorrow.",明日は雷雨があると思います。
"The mayor says the crime rate is going down.",市長は犯罪率が下がっていると言っています。
"He is not good at cooking.",彼は料理が苦手です。
"I have no idea how much it will cost.",どれくらいお金がかかるのか見当もつきません。
"Because I am very tired, I can't walk.",私はとても疲れているので、歩くことができません。
"What food does she like?",彼女の好きな食べ物は？
"She has been exhausted since morning.",彼女は朝から疲れています。
"The windshield is broken.",フロントガラスが割れています。
"Whose shoes are these?",これは誰の靴ですか？
"The garden is filled with flowers.",庭一面に花が咲き乱れています。
"he has lost his keys",彼は鍵をなくしました。
"This song is loved by the youth.",この曲は若者に人気がある。
"What languages do you speak?",あなたは何語を話しますか？
"He was playing basketball.",彼はバスケットボールをしていた。
"He is by the stairs.",彼は階段のそばにいます。
"We were glad about that.",私たちはそれが嬉しかったです。
"I waited for him for an hour.",私は彼を1時間待ちました。
"Are you free the day after tomorrow?",明後日は空いてますか？
"He seemed fine last night.",彼は昨夜、元気そうだった。
"There are a lot of fish in that lake.",その湖にはたくさんの魚がいます。
"The leaves started to fall.",葉っぱが落ち始めました。
"When can we go to Osaka?",大阪にはいつ行けますか？
"He has lived in Kobe for ten years.",彼は神戸に10年住んでいます。
"After all, life is not so bad.",結局、人生はそんなに悪いものではないのです。
"He asked me the same question again and again.",彼は私に何度も同じ質問をした。
"He walked all alone yesterday.",昨日、彼は一人で歩いた。
"There are many flowers all around the house.",家の周りにはたくさんの花が咲いています。
"It started raining when I left home.",家を出たら雨が降ってきました。
"There was an old shrine in the village.",村には古い神社があった。
"There is a cafe in our town.",うちの町にはカフェがあります。
"How often do you study English?",どれぐらいの頻度で英語を勉強しますか？
"He caught a very big fish.",彼はとても大きな魚を釣りました。
"Why did he study English?",なぜ彼は英語を勉強したのですか？
"I have lived in Yokohama for ten years.",私は10年間ずっと横浜に住んでいます。
"I have lunch at noon.",私は12時に昼食を食べます。
"He always wakes up early.",彼はいつも早起きです。
"I am not following this at all.",私はこれに全くついていけない。
"I'm going to go to the park tomorrow.",私は明日、公園に行きます。
"Japanese culture is interesting.",日本の文化は興味深いです。
"I'm sorry to be late.",遅れてすみません。
"How many people are there?",そこに何人いますか
"His sister is very short.",彼の妹はとても背が低い。
"I'm still thinking about it.",それについてはまだ考え中です。
"I have lived here since I was a child.",私は子どもの頃からここに住んでいます。
"It's ten minutes from here.",ここから10分です。
"I have visited there three times.",私はそこに３回行ったことがあります。
"I was very surprised to hear that.",私はそれを聞いてとても驚きました。
"Don't step inside the white line.",白い線の内側に入らないで。
"Could you tell me how to get to Haneda?",羽田への行き方を教えてください。
"The boy standing over there is my brother.",あそこに立っているのは私の弟です。
"I went to school yesterday.",私は昨日、学校に行きました。
"What do you have for lunch?",昼食に何を食べますか?
"I have not eaten breakfast yet.",私はまだ朝食を食べていません。
"I am glad to see you.",あなたに会えてうれしいです。
"English is spoken by many people.",英語は多くの人に話されています。
"The news made her sad.",その知らせは彼女を悲しませた。
"The train has already left.",電車はもう出てしまいました。
"Would you like some coffee?",コーヒーはいかがですか?
"Are these books read by many people?",これらの本は多くの人に読まれていますか?
"Would you like to go with us?",私たちといっしょに行きませんか。
"This is a bus that goes to Osaka.",これは大阪に行くバスです。
"I want him to come here.",私は彼にここに来てほしい。
"The train which I wanted to get on has gone.",私が乗りたかった電車は行ってしまった。
"A year flies by fast.",一年はあっという間です。
"I haven't seen her since then.",それ以来、私は彼女に会っていません。
"I want to be a doctor someday.",私はいつか医者になりたいです。
"Some of them are Japanese.",日本人の方もいらっしゃいますよ。
"It sounds like a good idea.",いい考えだと思います。
"Something smells good.",何だかいい匂いがします。
"There is a park near my house.",私の家の近くに公園があります。
"Where was this car made?",この車はどこで作られましたか?
"How long have you lived in this town?",あなたはいつからこの町に住んでいますか?
"What is your departure time?",出発は何時ですか？
"What are you going to do?",どうするつもりなの？
"The information is wrong.",この情報は間違ってます。
"I am going to send him a birthday present.",私は彼に誕生日プレゼントを送るつもりです。
"She looked like a boy.",彼女は男の子のように見えた。
"I did everything possible.",できることは全部しました。
"Ken is the tallest in my class.",ケンは私のクラスで１番背が高い。
"I was too busy to eat lunch.",忙しくて昼食を取る時間もなかった。
"Which ones will you talk about first?",どれから話しましょうか？
"Are you having trouble with your bike?",自転車の調子が悪いんですか？
"Could you please repeat it?",もう一度いってもらえますか？
"That would be great.",そうしてもらえると助かります。
"How do I get there?",どうやって行けばいいでしょうか？
"I seem to be lost.",迷ってしまったようです。
"Could I ask you something?",ちょっと聞いてもいいですか？
"You can get it at any convenience store.",それはコンビニに売ってますよ。
"How small do I chop the tomatoes?",トマトをどのくらいの大きさに切ればいい？
"I forgot about the time.",うっかり時間を忘れていました。
"Did you brush your teeth?",歯を磨きましたか？
"I already have plans for tonight.",今晩はもう予定が入ってるんです。
"I know where he is.",彼の居場所を知っています。
"I like you the way you are.",今のままのあなたが好きです。
"Please shut your mouth.",ちょっと静かにして。
"Please put away your backpack.",リュックサックを片付けてください。
"You should have come earlier.",もっと早くくれば良かったのに。
"How much time do you have?",時間、どれくらいありますか？
"Have you been waiting long?",もう結構待ってますか？
"If you're busy, another time is fine.",忙しかったらまた今度でいいです。
"I'm almost there.",もうすぐ着きます。
"Please let her get off the train first.",彼女を先に電車から下ろしてあげて。
"Where can I put down this?",これはどこに置いたらいいですか？
"You should turn on the light.",ライトをつけた方がいいですよ。
"Can you meet the deadline?",締め切りに間に合いそうですか？
"The train leaves in five minutes.",電車は5分後に出発します。
"Please respond as soon as possible.",できるだけ早く返事をください。
"Is there a restroom near here?",この近くにトイレはありますか？
"I'm folding the towels.",タオルをたたんでいるんです。
"This is a peaceful place.",ここは落ち着いた場所ですね。
"This shirt goes well with this skirt.",このシャツはこのスカートに合うね。
"Where can I hang my coat?",コートはどこにかけたらいい？
"Have you walked the dog yet?",もう犬の散歩には行きましたか？
"I'm looking for the nearest station.",一番近い駅をさがしています。
"They seem like nice people.",親切そうな人たちだね。
"I need more time to myself.",もっと自分の時間が必要だな。
"Do you mind if I sit here?",ここに座ってもいいですか？
"I'm going hiking tomorrow.",明日、ハイキングに行きます。
"Do you live around here?",この辺りに住んでる方ですか？
"Is that far from here?",ここからは遠いですか？
"Where do I need to transfer?",どこで乗り換えればいいですか？
"He arrived at the station at 3 pm.",彼は午後3時に駅に着きました。
"I'm as tall as my father.",私は父と同じくらい背が高いです。
"Please make yourself at home.",どうぞくつろいでくださいね。
"Are you still angry?",まだ怒ってるんですか？
"I hope to see you again.",また会えるといいですね。
"Please say hello to your wife for me.",奥さんによろしくお伝え下さい。
"Just as I thought.",思った通りです。
"There is a typhoon approaching.",台風が近づいてます。
"Do you have any plans after this?",このあと、何か予定はありますか？
"What are you in the mood for?",何を食べたい気分ですか？
"Please tell me the truth.",本当のことを言ってください。
"How can you say such a thing!",よくそんなことが言えたものだ。
"A few members left here.",ここに残っているメンバーは数名です。
"Can I have a glass of water?",水を一杯、もらえますか？
"It’s a kind of virus.",ウイルスの一種です。
"This picture was painted a long time ago.",この絵はずいぶん前に描かれたものです。
"He's a member of the team.",彼はチームの一員です。
"I bought a pair of shoes.",靴を買いました。
"He started to run as soon as he finished.",彼は終わるとすぐに走り出した。
"I spent my holiday as usual.",私はいつものように休日を過ごした。
"You can use the bathroom at any time.",トイレはいつでも使っていいよ。
"Do you have any other questions?",他に質問はありますか？
"I passed the exam at last.",私はついに試験に合格しました。
"I was in trouble at that time.",あの時は困りました。
"He came up to me at once.",彼はすぐに私のところに来てくれた。
"My house is about 5 kilometers away from the station.",私の家は駅から5キロほど離れています。
"At the end of the year, we cleaned up the backyard.",年末には裏庭の掃除をしました。
"He is busy with his work.",彼は仕事で忙しい。
"I'm careful about my health.",私は健康に気をつけています。
"The top of the mountain was covered with snow.",山の頂上は雪で覆われていた。
"Niigata is famous for Rice.",新潟は米で有名です。
"She is friendly to everybody.",彼女は誰にでも親切です。
"You'll be late for school.",学校に遅刻しますよ。
"He's supposed to be here by six.",彼は6時までにここに来ることになっている。
"He was surprised at the news.",彼はその知らせに驚いていた。
"I am used to staying at home alone.",私は一人で家にいるのに慣れている。
"Do you have a cold?",風邪をひいていませんか？
"I have to clean up my room.",部屋を片付けなければなりません。
"He broke the toy by mistake.",彼は間違えておもちゃを壊してしまった。
"By the way, how's your mother?",ところで、あなたのお母さんはどうですか。
"Could you call me back later?",後で電話してくれる？
"We are responsible for our children.",私たちは子供たちに責任があります。
"He has been sick in bed for a week.",彼は一週間も病気で寝込んでいる。
"He continued to study day after day.",彼は来る日も来る日も勉強し続けた。
"Could you open the window?",窓を開けてもらえますか？
"They cut down the tree last week.",彼らは先週その木を切り倒した。
"Your dream will come true.",君の夢はきっと叶うよ。
"He came up and spoke to me.",彼は近寄ってきて私に話しかけた。
"He came back from Tokyo.",東京から帰ってきました。
"You don't have to eat anymore.",もう食べなくていいんだよ。
"Day after day, she worked hard.",毎日毎日、彼女は懸命に働いた。
"He's thinking about her day and night.",彼は昼も夜も彼女のことを考えている。
"Some leaves fell from the tree.",木から葉っぱが何枚か落ちてきた。
"Look at the building far away.",遠くの建物を見てください。
"It depends on the weather.",それは天気次第です。
"Did you do your homework before dinner?",夕食の前に宿題をしましたか？
"He's rich enough to buy a new car.",彼は新しい車を買えるほど金持ちなんだ。
"I go to school on foot every day.",毎日、徒歩で学校に通っています。
"Let me think for a while.",しばらく考えさせてください。
"Do you get along with co-workers?",同僚と仲が良いのですか？
"Where should I get off?",どこで降りればいいですか？
"Let's get on the bus.",バスに乗りましょう。
"I'm sure he will find out the truth.",彼はきっと真実を知ることになるでしょう。
"First of all, let me know your name, please.",まず最初に、あなたの名前を教えてください。
"How can I get to the station?",どうしたら駅まで行けますか。
"We're planning to go out for dinner.",私達は夕食を食べに行くつもりです。
"He went into the forest to see the bird.",彼は鳥を見るために森に入った。
"I go to bed at 9 pm every day.",私は毎日夜9時に寝ます。
"Could you tell me how to use this camera?",このカメラの使い方を教えてください。
"Hurry up, or you'll be late for school.",急いでください、さもないと学校に遅れますよ。
"I hope to hear from you.",連絡をお待ちしています。
"Can you help me with cooking?",料理の手伝いをしてくれませんか？
"She arrived at the station on time.",彼女は時間通りに駅に到着した。
"He gave me a gift instead of a bouquet.",花束の代わりにプレゼントをくれた。
"There are many people in front of the door.",ドアの前にはたくさんの人がいます。
"Can I leave a message?",メッセージを残してもいいですか？
"He's looking forward to seeing you.",彼はあなたに会うのを楽しみにしていますよ。
"I moved from Japan last year.",私は去年日本から引っ越してきました。
"We have to learn about foreign cultures.",外国の文化について学ばなければならない。
"He made a speech about his family.",彼は家族についてのスピーチをした。
"He made friends with many people at school.",彼は学校で多くの人と友達になった。
"I have many kinds of chairs.",私はたくさんの種類の椅子を持っている。
"I've seen her many times.",私は彼女に何回も会ったことがある。
"You don't have to worry at all.",あなたは全く心配する必要はありません。
"I haven't decided yet.",私はまだ決めていません。
"I look after my dog every day.",私は毎日犬の世話をしています。
"She looked up from her notebook.",彼女はノートから顔を上げた。
"He put out his hand to shake hands.",彼は握手をするために手を出した。
"You should answer the question right away.",君はすぐに質問に答えるべきだ。
"Trains usually come on time.",電車はたいてい時間通りに来る。
"The hospital is on your right.",病院は右側にあります。
"She pointed to the blackboard.",彼女は黒板を指差した。
"Could you say that once more?",もう一度言ってもらえますか？
"Children were running around in the park.",子供たちが公園で走り回っていた。
"He ran away after seeing me.",彼は私を見て逃げ出した。
"The moon moves around the earth.",月は地球の周りを回っている。
"We need to talk with him.",私たちは彼と話をする必要があります。
"I'll pick him up at eleven.",私は11時に彼を迎えに行きます。
"Could you take away these?",これを片付けてもらえますか？
"I'll take care of a pet.",私はペットの世話をします。
"I take my dog for a walk every morning.",私は犬を毎朝散歩に連れて行きます
"Could you take off your shoes?",靴を脱いでもらえますか？
"He was kind enough to show me around.",彼は親切に案内してくれた。
"You should see a doctor.",お医者さんに診てもらった方がいいですよ。
"His story seems to be true.",彼の話は本当のようです。
"Can I take a look at your new car?",あなたの新しい車を見てもいいですか。
"He told the students to stand up.",彼は生徒たちに立ち上がるように言った。
"He went to the station to see me off.",彼は駅まで見送りに行ってくれました。
"His English is better than before.",彼の英語は前より上手になったよ。
"She turned around when I tapped on her shoulder.",彼女は肩をたたくと振り返ってくれました。
"Could you turn down the air conditioner?",エアコンを弱めてもらえますか？
"I'll show you the way to use the phone.",電話の使い方を教えるよ。
